country,sE,sK,Re_M2_sensitivity,rho
UAE,0.0,0.5,16.66668209834084,4.999994444602442
UAE,0.02,0.49,19.09493796458797,4.999994444602442
UAE,0.04,0.48,21.491243095752925,4.999994444602442
UAE,0.06,0.47,23.856223976837278,4.999994444602442
UAE,0.08,0.46,26.19049082050495,4.999994444602442
UAE,0.1,0.45,28.49463809199626,4.999994444602442
UAE,0.12,0.44,30.76924501385308,4.999994444602442
UAE,0.14,0.43,33.01487605135503,4.999994444602442
UAE,0.16,0.42,35.23208137952151,4.999994444602442
UAE,0.18,0.41000000000000003,37.42139733249093,4.999994444602442
UAE,0.2,0.4,39.583346836048236,4.999994444602442
Egypt,0.0,0.5,199.9999999999992,-0.49999999999999806
Egypt,0.02,0.49,199.99999999999923,-0.49999999999999806
Egypt,0.04,0.48,199.99999999999923,-0.49999999999999806
Egypt,0.06,0.47,199.99999999999923,-0.49999999999999806
Egypt,0.08,0.46,199.99999999999923,-0.49999999999999806
Egypt,0.1,0.45,199.99999999999923,-0.49999999999999806
Egypt,0.12,0.44,199.99999999999926,-0.49999999999999806
Egypt,0.14,0.43,199.9999999999993,-0.49999999999999806
Egypt,0.16,0.42,199.9999999999993,-0.49999999999999806
Egypt,0.18,0.41000000000000003,199.99999999999932,-0.49999999999999806
Egypt,0.2,0.4,199.99999999999932,-0.49999999999999806
Jordan,0.0,0.5,200.0,-0.49999999999999994
Jordan,0.02,0.49,199.99999999999997,-0.49999999999999994
Jordan,0.04,0.48,200.0,-0.49999999999999994
Jordan,0.06,0.47,199.99999999999997,-0.49999999999999994
Jordan,0.08,0.46,199.99999999999997,-0.49999999999999994
Jordan,0.1,0.45,199.99999999999997,-0.49999999999999994
Jordan,0.12,0.44,200.0,-0.49999999999999994
Jordan,0.14,0.43,199.99999999999997,-0.49999999999999994
Jordan,0.16,0.42,200.0,-0.49999999999999994
Jordan,0.18,0.41000000000000003,200.0,-0.49999999999999994
Jordan,0.2,0.4,199.99999999999997,-0.49999999999999994
Tunisia,0.0,0.5,26.603106010783957,2.7589595725951526
Tunisia,0.02,0.49,28.899753613290137,2.7589595725951526
Tunisia,0.04,0.48,31.16618216839491,2.7589595725951526
Tunisia,0.06,0.47,33.40298420643949,2.7589595725951526
Tunisia,0.08,0.46,35.61073686736662,2.7589595725951526
Tunisia,0.1,0.45,37.790002397185,2.7589595725951526
Tunisia,0.12,0.44,39.94132862533905,2.7589595725951526
Tunisia,0.14,0.43,42.06524942383507,2.7589595725951526
Tunisia,0.16,0.42,44.16228514893241,2.7589595725951526
Tunisia,0.18,0.41000000000000003,46.232943066166904,2.7589595725951526
Tunisia,0.2,0.4,48.27771775943597,2.7589595725951526
Morocco,0.0,0.5,199.9999999999967,-0.4999999999999918
Morocco,0.02,0.49,199.99999999999673,-0.4999999999999918
Morocco,0.04,0.48,199.9999999999968,-0.4999999999999918
Morocco,0.06,0.47,199.99999999999685,-0.4999999999999918
Morocco,0.08,0.46,199.9999999999969,-0.4999999999999918
Morocco,0.1,0.45,199.9999999999969,-0.4999999999999918
Morocco,0.12,0.44,199.99999999999696,-0.4999999999999918
Morocco,0.14,0.43,199.99999999999702,-0.4999999999999918
Morocco,0.16,0.42,199.99999999999707,-0.4999999999999918
Morocco,0.18,0.41000000000000003,199.9999999999971,-0.4999999999999918
Morocco,0.2,0.4,199.9999999999971,-0.4999999999999918
