country,year,y,k,l,u,EI
UAE,1990,1.0,1.0,1.0,1.0,0.00015014032585237535
UAE,1991,1.008601017632584,1.0330373609447567,1.0670126744032224,1.1666831178231831,0.000173672423896213
UAE,1992,1.042341666435106,1.0739401135240958,1.1349330731015428,1.2797683677162504,0.00018433959413867768
UAE,1993,1.0554866018913887,1.0915812506489155,1.2035194250497867,1.2466686408054486,0.00017733549210862326
UAE,1994,1.1462829086508033,1.1167172954591431,1.2724725515435111,1.2094890270786036,0.0001584190737469797
UAE,1995,1.2404895658697888,1.1453186830948001,1.3426815697194088,1.233606422531504,0.00014930723752004904
UAE,1996,1.313185227037658,1.1761868598481564,1.4167868658596483,1.3176389300167801,0.0001506495308013554
UAE,1997,1.426787109163942,1.2102883753937645,1.5196328398897974,1.3734083506070476,0.0001445232971086663
UAE,1998,1.450042761563375,1.2447960986929636,1.621503554790852,1.4274668509196196,0.00014780277093998567
UAE,1999,1.513628743180534,1.280364698566017,1.7220316259465818,1.4538326536386963,0.00014420901382559354
UAE,2000,1.6985448718542464,1.318396902973612,1.8208579657031656,1.516665021551015,0.00013406332933435123
UAE,2001,1.7219109015743048,1.3553722447179612,1.9578133623922238,1.4254927121376633,0.00012429443364628086
UAE,2002,1.7638115218485346,1.3948198878031706,2.0985863379166148,1.5885565755272595,0.00013522215890427648
UAE,2003,1.9190372318911726,1.4383516849326359,2.242779004121695,1.6626525844766886,0.0001300814787040987
UAE,2004,2.1026225033885066,1.482005638741623,2.3896066879862,1.7460270457013127,0.0001246771920143468
UAE,2005,2.204707631318137,1.5365755562477321,2.5382289560206717,1.6487349060638963,0.00011227864979658107
UAE,2006,2.421590730157554,1.6033715778736122,2.9475544733713606,1.7126311979732174,0.00010618433698410841
UAE,2007,2.4987037225716215,1.7163717245151464,3.5887139592305535,2.191326950284605,0.00013167088974687036
UAE,2008,2.6089465835517722,1.8256379977115358,4.344903020405468,2.4651729016549866,0.0001418664012020699
UAE,2009,2.5013930698480036,1.9424520284163465,5.046845076982084,2.07755125753994,0.00012470020267586843
UAE,2010,2.572362908280306,2.039670415123987,5.421909264052722,2.2541045635508175,0.0001315646375507323
UAE,2011,2.7322638311273306,2.139278951802032,5.527193812955115,2.541407560951535,0.00013965260418043863
UAE,2012,2.7821139340947054,2.229166465971136,5.63568196547232,2.534892902971079,0.00013679872768287423
UAE,2013,2.922765206598557,2.306600421085982,5.737407117488219,2.690356332050143,0.00013820165076588374
UAE,2014,3.0445186468203613,2.3891906457686423,5.833178466868976,2.655710196426809,0.0001309662513243012
UAE,2015,3.2511431385443776,2.496781111285939,5.929252411350467,2.837692889810153,0.00013104687089717613
UAE,2016,3.43195539212508,2.6029560043286013,6.023426351433343,2.9416312966801565,0.00012868974999923532
UAE,2017,3.4571825532821427,2.683981071467946,6.053976743248239,2.72339025433488,0.00011827281143161908
UAE,2018,3.5026067572532567,2.751983407028732,6.140880592007796,2.4585595367354323,0.0001053869176745361
UAE,2019,3.5414277730951036,2.835101059565363,6.2066511013211025,2.4461224624091074,0.00010370439469952603
UAE,2020,3.3658775074176646,2.8864044566181892,6.093373161193331,2.466291580298095,0.00011001286312317878
UAE,2021,3.512453340496281,2.9398791117162304,6.140564331321868,2.509985852005396,0.00010728970812511812
UAE,2022,3.7762276582409404,3.0596488523961978,6.269980351450787,2.57934392787813,0.00010255301662542375
UAE,2023,3.912878486148032,3.1852529459427927,6.346615977106726,2.689957691741217,0.00010321586162127767
Egypt,1990,1.0,1.0,1.0,1.0,6.24801306620231e-05
Egypt,1991,1.0114912941828107,1.029925680207398,1.036910627061823,1.0281880490394826,6.351149438317053e-05
Egypt,1992,1.054594469482079,1.0534544125546068,1.0581173007090472,1.0207870772597096,6.047718986864565e-05
Egypt,1993,1.086206476254429,1.072458420787504,1.0847978248502528,1.0343662515686842,5.9498207719450546e-05
Egypt,1994,1.1293098400375359,1.1014116768905013,1.1247212682254077,1.0640023168259485,5.886693042342652e-05
Egypt,1995,1.1810326954118762,1.1431704395214284,1.167939637077777,1.1057373620362325,5.8496784319600156e-05
Egypt,1996,1.2413752936892344,1.1897980007858924,1.177051888913684,1.1599253467194386,5.838064249357106e-05
Egypt,1997,1.3074661464177642,1.2514980597809366,1.2183556018951847,1.2073559223863306,5.7696144556359305e-05
Egypt,1998,1.3620655164796447,1.3368192063701898,1.2570839121160708,1.327830871705763,6.0909732577084846e-05
Egypt,1999,1.4425239895946869,1.4186002708581327,1.3006413893598696,1.4389017381174374,6.232323986005256e-05
Egypt,2000,1.522982462709729,1.4910353182552705,1.3222309201562998,1.525147214982141,6.256893930436988e-05
Egypt,2001,1.574710344319763,1.5601615131629372,1.3462016862148085,1.6220355890208191,6.435786486450687e-05
Egypt,2002,1.6120655793075909,1.6112243270246933,1.3609209594672584,1.7219808861859254,6.674020718971897e-05
Egypt,2003,1.6635288296083481,1.6581221241433615,1.3945818903090583,1.8278791389130224,6.865292948398132e-05
Egypt,2004,1.7315649612062562,1.709774129572666,1.4338724201834998,1.976703027962802,7.132545774147322e-05
Egypt,2005,1.8091959254317724,1.7786697778571732,1.4877014543315892,2.284712166554043,7.890196561068574e-05
Egypt,2006,1.933336030746489,1.8648884474589709,1.5317976853131858,2.167937703124497,7.006181481345716e-05
Egypt,2007,2.0704959713464355,1.984779824939377,1.6448589842811647,2.3445635035556838,7.075050426314464e-05
Egypt,2008,2.2187701756242144,2.1335865147072504,1.688404025329866,2.4160311484377512,6.80349607617382e-05
Egypt,2009,2.3222993218854113,2.246686708084112,1.7381719015275425,2.5432001687664285,6.842334118893834e-05
Egypt,2010,2.4419066421956006,2.371487256417779,1.8181958560081062,2.5301670045371174,6.473841477333424e-05
Egypt,2011,2.4845097698712855,2.4622066696424736,1.7965663517274253,2.6722978408469285,6.720260080627826e-05
Egypt,2012,2.5400552031466246,2.539892837558428,1.8313153015906862,2.7876564661968657,6.857061217923444e-05
Egypt,2013,2.5953945607585194,2.5966155027198887,1.860256696391393,2.819191041606332,6.786768659532433e-05
